Category,SubCategory,total_sale
Technology,Phones,327782.4480
Furniture,Chairs,322822.7310
"Office Supplies",Storage,219343.3920
Furniture,Tables,202810.6280
"Office Supplies",Binders,200028.7850
Technology,Machines,189238.6310
Technology,Accessories,164186.7000
Technology,Copiers,146248.0940
Furniture,Bookcases,113813.1987
"Office Supplies",Appliances,104618.4030
Furniture,Furnishings,89212.0180
"Office Supplies",Paper,76828.3040
"Office Supplies",Supplies,46420.3080
"Office Supplies",Art,26705.4100
"Office Supplies",Envelopes,16128.0460
"Office Supplies",Labels,12347.7260
"Office Supplies",Fasteners,3001.9600
