SubCategory,average_sales,total_sales,count_orders
Machines,2993.94222222,53890.9600,18
Copiers,1328.53657143,9299.7560,7
Tables,876.60424000,43830.2120,50
Chairs,520.22379070,44739.2460,86
Phones,417.97365468,58098.3380,139
Bookcases,389.26292857,10899.3620,28
Supplies,286.85958621,8318.9280,29
Storage,277.56771654,35251.1000,127
Appliances,241.05340741,19525.3260,81
Accessories,215.24923200,26906.1540,125
Binders,152.42475104,36734.3650,241
Furnishings,105.32506173,17062.6600,162
Paper,63.72282569,13891.5760,218
Envelopes,61.95474074,3345.5560,54
Labels,36.62781250,2344.1800,64
Art,32.21731429,4510.4240,140
Fasteners,17.35572414,503.3160,29
